"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/home/magloire/conference-management-app/force-app/main/default/classes/AttachmentController.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","/home/magloire/conference-management-app/force-app/main/default/classes/AttachmentController.cls","3","5","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"3","","/home/magloire/conference-management-app/force-app/main/default/classes/AttachmentController.cls","3","9","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"4","","/home/magloire/conference-management-app/force-app/main/default/classes/AttachmentController.cls","3","11","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"5","","/home/magloire/conference-management-app/force-app/main/default/classes/AttachmentController.cls","3","13","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"6","","/home/magloire/conference-management-app/force-app/main/default/classes/AttachmentController.cls","3","13","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","/home/magloire/conference-management-app/force-app/main/default/classes/SendReminderEmail.cls","3","1","Avoid using global modifier","Best Practices","AvoidGlobalModifier"
"2","","/home/magloire/conference-management-app/force-app/main/default/classes/SendReminderEmail.cls","3","28","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"1","","/home/magloire/conference-management-app/force-app/main/default/classes/TestRejectDoubleBooking.cls","3","3","Method names should not start with capital letters","Code Style","MethodNamingConventions"
"2","","/home/magloire/conference-management-app/force-app/main/default/classes/TestRejectDoubleBooking.cls","3","15","Method names should not start with capital letters","Code Style","MethodNamingConventions"
"1","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","1","Avoid logic in triggers","Best Practices","AvoidLogicInTrigger"
"2","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","4","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'requested_bookings' is not final.","Code Style","VariableNamingConventions"
"3","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","12","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'related_sessions' is not final.","Code Style","VariableNamingConventions"
"4","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","13","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'related_session' is not final.","Code Style","VariableNamingConventions"
"5","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","17","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'related_speakers' is not final.","Code Style","VariableNamingConventions"
"6","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","19","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'requested_session_speaker' is not final.","Code Style","VariableNamingConventions"
"7","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","20","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'booking_time' is not final.","Code Style","VariableNamingConventions"
"8","","/home/magloire/conference-management-app/force-app/main/default/triggers/RejectDoubleBooking.trigger","3","21","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'related_speaker' is not final.","Code Style","VariableNamingConventions"
"1","","/home/magloire/conference-management-app/force-app/main/default/triggers/SendConfirmationEmail.trigger","3","1","Avoid logic in triggers","Best Practices","AvoidLogicInTrigger"
